number;name;category;price;stock_info;active
13971;"Фотоаппарат Canon EOS 650D kit 40 f2,8 STM";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";27260;Ожидается;1
13784;"Фотоаппарат Canon EOS 6D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";66899;Ожидается;1
14652;"Фотоаппарат Canon EOS 6D Body -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";55000;Ожидается;1
14939;"Фотоаппарат Canon EOS 6D Kit 24-105 IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";98889;Ожидается;1
14940;"Фотоаппарат Canon EOS 6D Kit 24-105 IS -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";76890;Ожидается;1
15078;"Фотоаппарат Canon EOS 700D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";26790;Ожидается;1
15079;"Фотоаппарат Canon EOS 700D Kit 18-135 f/3.5-5.6 IS STM";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";39390;Ожидается;1
15080;"Фотоаппарат Canon EOS 700D Kit 18-55 STM";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";31990;Ожидается;1
6985;"Фотоаппарат Canon EOS 7D 15-85 IS kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";64899;Ожидается;1
6986;"Фотоаппарат Canon EOS 7D 18-135 IS kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";59849;Ожидается;1
15055;"Фотоаппарат Canon EOS 7D 18-135 IS kit -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";51040;Ожидается;1
12521;"Фотоаппарат Canon EOS 7D 55-250 IS kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";57393;Ожидается;1
6732;"Фотоаппарат Canon EOS 7D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";42282;Ожидается;1
14668;"Фотоаппарат Canon EOS 7D Body -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";38269;Ожидается;1
9504;"Фотоаппарат Leica S2";"Фотоаппараты и Видеокамеры/Компактные фотоаппараты";0;Ожидается;1
9503;"Фотоаппарат Leica S2 ""P""";"Фотоаппараты и Видеокамеры/Компактные фотоаппараты";0;Ожидается;1
970;"Фотоаппарат Nikon D200 body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
4727;"Фотоаппарат Nikon D3 Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
3252;"Фотоаппарат Nikon D300 body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
4600;"Фотоаппарат Nikon D300 kit 18-200";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
4646;"Фотоаппарат Nikon D300 kit 18-70 G";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
6328;"Фотоаппарат Nikon D3000 Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
6341;"Фотоаппарат Nikon D3000 Kit AF-S 18-105 f/3.5-5.6G ED VR";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
6991;"Фотоаппарат Nikon D3000 Kit AF-S 18-55DX II";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
